goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,1,0.197964146733284,31,Sub,Fulham,Brighton,2,1,2026-01-24,29004,2025,765635,0.06375604122877121,0,1,1,0.197964146733284,0.2617201805114746,0.06375604122877121
0,0,0,90,AML,Burnley,Fulham,2,3,2025-12-13,28930,2025,757793,0.11966221034526825,1,1,0,0,0.11966221034526825,0
0,1,0.04468753933906555,78,AML,Fulham,Crystal Palace,1,2,2025-12-07,28922,2025,756881,0,0,0,0,0.04468753933906555,0.1127869188785553,0.06809937953948975
2,4,0.1796654462814331,41,Sub,Fulham,Manchester City,4,5,2025-12-02,28912,2025,754936,0.05608774349093437,0,1,2,0.1796654462814331,0.19270600378513336,0
0,2,0.11834263801574707,84,AML,Tottenham,Fulham,1,2,2025-11-29,28906,2025,753991,0.16301165521144867,1,2,0,0.11834263801574707,0.36172667145729065,0.10089686512947083
0,0,0,24,Sub,Fulham,Sunderland,1,0,2025-11-22,28892,2025,752032,1.1299664974212646,1,5,0,0,1.3240941762924194,0.29923996329307556
0,0,0,24,Sub,Everton,Fulham,2,0,2025-11-08,28882,2025,750189,0,0,0,0,0,0,0
0,2,0.6835978627204895,8,Sub,Fulham,Wolverhampton Wanderers,3,0,2025-11-01,28871,2025,748380,0,0,0,0,0.6835978627204895,0.7338973879814148,0.05029952526092529
0,0,0,19,Sub,Bournemouth,Fulham,3,1,2025-10-03,28838,2025,742057,0.3843463659286499,1,2,0,0,0.5044826865196228,0.4724840521812439
0,2,0.0646590143442154,2,Sub,Aston Villa,Fulham,3,1,2025-09-28,28831,2025,741340,0,0,0,0,0.0646590143442154,0.07268035411834717,0.008021335117518902
0,0,0,23,Sub,AC Milan,Cremonese,1,2,2025-08-23,29846,2025,733648,0,0,0,0,0,0.021089907735586166,0.021089907735586166
0,1,0.33562764525413513,44,Sub,AC Milan,Monza,2,0,2025-05-24,27738,2024,729795,0.5136069655418396,1,3,0,0.33562764525413513,0.49562960863113403,0.05775604397058487
0,0,0,22,Sub,AC Milan,Bologna,3,1,2025-05-09,27717,2024,725437,0.41228798031806946,1,2,0,0,0.41228798031806946,0
0,0,0,7,Sub,AC Milan,Atalanta,0,1,2025-04-20,27686,2024,721476,0.020586734637618065,0,1,0,0,0.020586734637618065,0
0,0,0,6,Sub,AC Milan,Fiorentina,2,2,2025-04-05,27669,2024,717211,0,0,0,0,0,0,0
0,2,0.061838556081056595,33,Sub,Napoli,AC Milan,2,1,2025-03-30,27654,2024,715748,0.0488894060254097,0,1,0,0.061838556081056595,0.13766361773014069,0.05513035133481026
1,1,0.09031064063310623,18,Sub,AC Milan,Lazio,1,2,2025-03-02,27627,2024,710639,0,0,0,1,0.09031064063310623,0.09031064063310623,0
0,0,0,1,Sub,Torino,AC Milan,2,1,2025-02-22,27618,2024,708005,0.0706317201256752,0,1,0,0,0.143841952085495,0.0732102319598198
0,0,0,2,Sub,AC Milan,Inter,1,1,2025-02-02,27588,2024,704264,0,0,0,0,0,0,0
1,3,0.7997887134552002,32,Sub,AC Milan,Parma Calcio 1913,3,2,2025-01-26,27576,2024,701874,0,0,0,1,0.7997887134552002,0.829725980758667,0.029937222599983215
0,4,0.21254058182239532,63,AMR,AC Milan,Roma,1,1,2024-12-29,27538,2024,696834,0.13644684851169586,0,3,0,0.21254058182239532,0.3501168489456177,0.2644205093383789
0,2,0.049607910215854645,74,AMR,Verona,AC Milan,0,1,2024-12-20,27522,2024,694975,0,0,0,0,0.049607910215854645,0.15461337566375732,0.10500545799732208
0,4,0.18926547467708588,77,AMR,AC Milan,Genoa,0,0,2024-12-15,27520,2024,694715,0.04957801103591919,0,3,0,0.18926547467708588,0.41819503903388977,0.20643223822116852
0,0,0,1,Sub,Atalanta,AC Milan,2,1,2024-12-06,27502,2024,691784,0,0,0,0,0,0,0
0,2,0.2806556522846222,13,Sub,AC Milan,Empoli,3,0,2024-11-30,27498,2024,690248,0.6569050550460815,0,2,0,0.2806556522846222,0.9375606775283813,0.6569050550460815
0,0,0,5,Sub,AC Milan,Juventus,0,0,2024-11-23,27490,2024,688708,0.01024904940277338,0,1,0,0,0.03473234549164772,0.024483297020196915
0,1,0.13677078485488892,71,AMR,Cagliari,AC Milan,3,3,2024-11-09,27478,2024,686839,0.11868518590927124,0,2,0,0.13677078485488892,0.31424129009246826,0.058785319328308105
0,2,0.11330709606409073,82,AMR,Monza,AC Milan,0,1,2024-11-02,27465,2024,685377,0.06716617941856384,0,1,0,0.11330709606409073,0.5132295489311218,0.33275631070137024
0,1,0.015568461269140244,90,FWR,AC Milan,Napoli,0,2,2024-10-29,27459,2024,684261,0.14848357439041138,0,2,0,0.015568461269140244,0.3501174747943878,0.2843584716320038
1,3,0.1731792539358139,90,AMR,AC Milan,Udinese,1,0,2024-10-19,27440,2024,681539,0.07936310023069382,0,1,1,0.1731792539358139,0.31349852681159973,0.14031925797462463
0,2,0.09853596985340118,6,Sub,Fiorentina,AC Milan,2,1,2024-10-06,27426,2024,680661,0,0,0,0,0.09853596985340118,0.09853596985340118,0
0,1,0.072934091091156,25,Sub,AC Milan,Lecce,3,0,2024-09-27,27417,2024,677319,0.2091757357120514,0,1,0,0.072934091091156,0.2821098268032074,0
0,0,0,2,Sub,Inter,AC Milan,1,2,2024-09-22,27406,2024,676768,0.47066113352775574,0,1,0,0,0.47066113352775574,0
0,0,0,9,Sub,AC Milan,Venezia,4,0,2024-09-14,27398,2024,674064,0,0,0,0,0,0.09477823227643967,0.09477823227643967
0,1,0.06801994889974594,72,AMR,Lazio,AC Milan,2,2,2024-08-31,27387,2024,672296,0.10752049833536148,0,1,0,0.06801994889974594,0.23524296283721924,0.059702515602111816
0,0,0,1,Sub,Parma Calcio 1913,AC Milan,2,1,2024-08-24,27372,2024,668257,0,0,0,0,0,0.04488760977983475,0.04488760977983475
0,2,0.09271958470344543,64,AMR,AC Milan,Torino,2,2,2024-08-17,27365,2024,666674,0.02655058354139328,0,1,0,0.09271958470344543,0.15790955722332,0.03863939642906189
0,1,0.6195226311683655,47,AMR,AC Milan,Cagliari,5,1,2024-05-11,22663,2023,660935,0.03171823173761368,0,1,0,0.6195226311683655,0.651240885257721,0.03171823173761368
0,1,0.03261977806687355,82,AMR,AC Milan,Genoa,3,3,2024-05-05,22650,2023,659644,0.8594251275062561,1,5,0,0.03261977806687355,1.633389949798584,0.7644381523132324
0,0,0,5,Sub,Juventus,AC Milan,0,0,2024-04-27,22638,2023,657210,0,0,0,0,0,0,0
0,0,0,21,Sub,AC Milan,Inter,1,2,2024-04-22,22633,2023,655979,0.03036598302423954,0,1,0,0,0.03036598302423954,0
0,3,0.1282876580953598,69,AMR,Sassuolo,AC Milan,3,3,2024-04-14,22620,2023,653894,0.10358749330043793,0,1,0,0.1282876580953598,0.34988081455230713,0.1180056482553482
0,2,0.17546477913856506,90,AMR,AC Milan,Lecce,3,0,2024-04-06,22612,2023,651465,0.6649385690689087,1,5,0,0.17546477913856506,0.8404033184051514,0.6668661236763
0,1,0.0692630410194397,73,AMR,Fiorentina,AC Milan,1,2,2024-03-30,22601,2023,650130,0.5127478837966919,0,2,0,0.0692630410194397,1.2511768341064453,1.1191025972366333
